syscall,count
3,572
39,60
231,16
61,51
13,272
16,30
14,170
0,1731
56,64
59,32
45,3
12,92
158,64
21,116
257,287
5,254
9,656
11,70
10,222
89,281
79,32
269,32
2,90
8,78
22,24
221,8
1,42
273,10
202,70
32,42
217,16
44,6
102,88
104,88
107,94
110,8
4,254
108,88
48,2
7,2
43,2
28,2
60,1
51,2
186,2
99,2
63,2
41,4
42,4
111,2
72,16
218,4
137,10
83,2
91,4
87,2
95,2
268,2
230,1
