syscall,count
3,151
257,106
0,1068
5,90
9,226
10,84
158,22
11,26
218,2
273,4
13,102
14,84
137,6
89,110
79,12
12,34
21,44
269,14
2,36
8,26
202,30
1,20
39,28
231,8
61,27
72,14
32,10
4,88
107,36
108,34
102,34
104,34
56,18
91,4
87,2
59,10
221,4
16,10
95,2
268,2
110,2
230,2
44,6
48,2
7,2
43,2
51,2
28,2
186,2
60,1
45,1
