syscall,count
22,8
5,68
16,12
8,24
56,15
273,6
3,202
32,4
13,48
257,68
0,89
217,16
59,8
45,2
12,24
158,16
202,46
21,8
9,196
11,16
10,72
89,96
79,8
269,8
2,24
102,12
104,4
39,12
107,12
110,4
4,24
108,4
61,5
157,32
125,28
126,12
105,4
41,20
42,4
51,6
54,38
55,4
14,4
44,12
47,134
7,45
1,12
38,2
231,2
48,2
28,2
60,1
43,2
186,2
