1:   java -Xmx200m -jar /app/ts-security-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f045c021000  65404K -----   [ anon ]
00007f04600e2000   1280K rw---   [ anon ]
00007f0460222000    768K -----   [ anon ]
00007f04602e2000   2048K rw---   [ anon ]
00007f04605e2000   2048K rw---   [ anon ]
00007f04607e2000   2048K rw---   [ anon ]
00007f04609e2000   2048K rw---   [ anon ]
00007f0460be2000     80K r-x-- libresolv-2.19.so
00007f0460bf6000   2044K ----- libresolv-2.19.so
00007f0460df5000      4K r---- libresolv-2.19.so
00007f0460df6000      4K rw--- libresolv-2.19.so
00007f0460df7000      8K rw---   [ anon ]
00007f0460df9000     20K r-x-- libnss_dns-2.19.so
00007f0460dfe000   2044K ----- libnss_dns-2.19.so
00007f0460ffd000      4K r---- libnss_dns-2.19.so
00007f0460ffe000      4K rw--- libnss_dns-2.19.so
00007f0460fff000  49156K rw---   [ anon ]
00007f0464000000    132K rw---   [ anon ]
00007f0464021000  65404K -----   [ anon ]
00007f0468000000  16964K rw---   [ anon ]
00007f0469091000  48572K -----   [ anon ]
00007f046c000000    132K rw---   [ anon ]
00007f046c021000  65404K -----   [ anon ]
00007f0470000000    132K rw---   [ anon ]
00007f0470021000  65404K -----   [ anon ]
00007f0474000000    132K rw---   [ anon ]
00007f0474021000  65404K -----   [ anon ]
00007f0478000000    132K rw---   [ anon ]
00007f0478021000  65404K -----   [ anon ]
00007f047c000000    132K rw---   [ anon ]
00007f047c021000  65404K -----   [ anon ]
00007f0480091000     12K -----   [ anon ]
00007f0480094000   1016K rw---   [ anon ]
00007f0480192000     12K -----   [ anon ]
00007f0480195000   1016K rw---   [ anon ]
00007f0480293000     12K -----   [ anon ]
00007f0480296000   3064K rw---   [ anon ]
00007f0480594000    160K r-x-- libsunec.so
00007f04805bc000   2048K ----- libsunec.so
00007f04807bc000     16K r---- libsunec.so
00007f04807c0000      8K rw--- libsunec.so
00007f04807c2000     12K -----   [ anon ]
00007f04807c5000   3064K rw---   [ anon ]
00007f0480ac3000   2048K rw---   [ anon ]
00007f0480cc3000   2048K rw---   [ anon ]
00007f0480ec3000   2048K rw---   [ anon ]
00007f04810c3000   2048K rw---   [ anon ]
00007f04812c3000   2048K rw---   [ anon ]
00007f04814c3000   2048K rw---   [ anon ]
00007f0481705000     12K -----   [ anon ]
00007f0481708000   1016K rw---   [ anon ]
00007f0481806000     68K r-x-- libnio.so
00007f0481817000   2048K ----- libnio.so
00007f0481a17000      4K r---- libnio.so
00007f0481a18000      4K rw--- libnio.so
00007f0481a55000     12K -----   [ anon ]
00007f0481a58000   3064K rw---   [ anon ]
00007f0481d56000   2048K rw---   [ anon ]
00007f0481f56000     12K -----   [ anon ]
00007f0481f59000   3064K rw---   [ anon ]
00007f0482257000     92K r-x-- libnet.so
00007f048226e000   2044K ----- libnet.so
00007f048246d000      4K r---- libnet.so
00007f048246e000      4K rw--- libnet.so
00007f048246f000     36K r-x-- libmanagement.so
00007f0482478000   2044K ----- libmanagement.so
00007f0482677000      4K r---- libmanagement.so
00007f0482678000      4K rw--- libmanagement.so
00007f0482679000      4K -----   [ anon ]
00007f048267a000   1024K rw---   [ anon ]
00007f048277a000     12K -----   [ anon ]
00007f048277d000   1016K rw---   [ anon ]
00007f048287b000     12K -----   [ anon ]
00007f048287e000   1016K rw---   [ anon ]
00007f048297c000     12K -----   [ anon ]
00007f048297f000   1016K rw---   [ anon ]
00007f0482a7d000     12K -----   [ anon ]
00007f0482a80000   1016K rw---   [ anon ]
00007f0482b7e000     12K -----   [ anon ]
00007f0482b81000   1016K rw---   [ anon ]
00007f0482c7f000     12K -----   [ anon ]
00007f0482c82000   1016K rw---   [ anon ]
00007f0482d80000     12K -----   [ anon ]
00007f0482d83000   1016K rw---   [ anon ]
00007f0482e81000     12K -----   [ anon ]
00007f0482e84000   1016K rw---   [ anon ]
00007f0482f82000     12K -----   [ anon ]
00007f0482f85000   1016K rw---   [ anon ]
00007f0483083000     12K -----   [ anon ]
00007f0483086000   1016K rw---   [ anon ]
00007f0483184000     12K -----   [ anon ]
00007f0483187000   1016K rw---   [ anon ]
00007f0483285000     12K -----   [ anon ]
00007f0483288000   1016K rw---   [ anon ]
00007f0483386000     12K -----   [ anon ]
00007f0483389000   1016K rw---   [ anon ]
00007f0483487000     12K -----   [ anon ]
00007f048348a000   1016K rw---   [ anon ]
00007f0483588000     12K -----   [ anon ]
00007f048358b000   1016K rw---   [ anon ]
00007f0483689000     12K -----   [ anon ]
00007f048368c000   1016K rw---   [ anon ]
00007f048378a000     12K -----   [ anon ]
00007f048378d000   1016K rw---   [ anon ]
00007f048388b000     12K -----   [ anon ]
00007f048388e000   1016K rw---   [ anon ]
00007f048398c000     12K -----   [ anon ]
00007f048398f000   1016K rw---   [ anon ]
00007f0483a8d000     12K -----   [ anon ]
00007f0483a90000   1016K rw---   [ anon ]
00007f0483b8e000   1468K r---- LC_COLLATE
00007f0483cfd000     12K -----   [ anon ]
00007f0483d00000   1016K rw---   [ anon ]
00007f0483dfe000     12K -----   [ anon ]
00007f0483e01000   1016K rw---   [ anon ]
00007f0483eff000      4K -----   [ anon ]
00007f0483f00000   1024K rw---   [ anon ]
00007f0484000000    132K rw---   [ anon ]
00007f0484021000  65404K -----   [ anon ]
00007f04880c1000  64764K rw---   [ anon ]
00007f048c000000    132K rw---   [ anon ]
00007f048c021000  65404K -----   [ anon ]
00007f04900c1000  64764K rw---   [ anon ]
00007f0494000000    132K rw---   [ anon ]
00007f0494021000  65404K -----   [ anon ]
00007f0498000000    132K rw---   [ anon ]
00007f0498021000  65404K -----   [ anon ]
00007f049c000000    132K rw---   [ anon ]
00007f049c021000  65404K -----   [ anon ]
00007f04a00c1000  64764K rw---   [ anon ]
00007f04a4000000    132K rw---   [ anon ]
00007f04a4021000  65404K -----   [ anon ]
00007f04a8000000    132K rw---   [ anon ]
00007f04a8021000  65404K -----   [ anon ]
00007f04ac000000    132K rw---   [ anon ]
00007f04ac021000  65404K -----   [ anon ]
00007f04b0000000    132K rw---   [ anon ]
00007f04b0021000  65404K -----   [ anon ]
00007f04b4000000    132K rw---   [ anon ]
00007f04b4021000  65404K -----   [ anon ]
00007f04b8000000    132K rw---   [ anon ]
00007f04b8021000  65404K -----   [ anon ]
00007f04bc000000    132K rw---   [ anon ]
00007f04bc021000  65404K -----   [ anon ]
00007f04c0000000    132K rw---   [ anon ]
00007f04c0021000  65404K -----   [ anon ]
00007f04c4000000    132K rw---   [ anon ]
00007f04c4021000  65404K -----   [ anon ]
00007f04c8000000    132K rw---   [ anon ]
00007f04c8021000  65404K -----   [ anon ]
00007f04cc000000    132K rw---   [ anon ]
00007f04cc021000  65404K -----   [ anon ]
00007f04d0000000    132K rw---   [ anon ]
00007f04d0021000  65404K -----   [ anon ]
00007f04d4000000    132K rw---   [ anon ]
00007f04d4021000  65404K -----   [ anon ]
00007f04d8000000    132K rw---   [ anon ]
00007f04d8021000  65404K -----   [ anon ]
00007f04dc000000    132K rw---   [ anon ]
00007f04dc021000  65404K -----   [ anon ]
00007f04e0000000    132K rw---   [ anon ]
00007f04e0021000  65404K -----   [ anon ]
00007f04e4000000    132K rw---   [ anon ]
00007f04e4021000  65404K -----   [ anon ]
00007f04e8000000    132K rw---   [ anon ]
00007f04e8021000  65404K -----   [ anon ]
00007f04ec000000    132K rw---   [ anon ]
00007f04ec021000  65404K -----   [ anon ]
00007f04f0000000    132K rw---   [ anon ]
00007f04f0021000  65404K -----   [ anon ]
00007f04f4000000    132K rw---   [ anon ]
00007f04f4021000  65404K -----   [ anon ]
00007f04f8000000    132K rw---   [ anon ]
00007f04f8021000  65404K -----   [ anon ]
00007f04fc000000    132K rw---   [ anon ]
00007f04fc021000  65404K -----   [ anon ]
00007f0500000000    132K rw---   [ anon ]
00007f0500021000  65404K -----   [ anon ]
00007f0504000000    132K rw---   [ anon ]
00007f0504021000  65404K -----   [ anon ]
00007f0508000000    132K rw---   [ anon ]
00007f0508021000  65404K -----   [ anon ]
00007f050c000000    132K rw---   [ anon ]
00007f050c021000  65404K -----   [ anon ]
00007f0510000000    132K rw---   [ anon ]
00007f0510021000  65404K -----   [ anon ]
00007f0514000000    132K rw---   [ anon ]
00007f0514021000  65404K -----   [ anon ]
00007f0518000000    132K rw---   [ anon ]
00007f0518021000  65404K -----   [ anon ]
00007f051c000000    132K rw---   [ anon ]
00007f051c021000  65404K -----   [ anon ]
00007f0520000000    132K rw---   [ anon ]
00007f0520021000  65404K -----   [ anon ]
00007f0524000000    132K rw---   [ anon ]
00007f0524021000  65404K -----   [ anon ]
00007f0528000000    132K rw---   [ anon ]
00007f0528021000  65404K -----   [ anon ]
00007f052c000000    132K rw---   [ anon ]
00007f052c021000  65404K -----   [ anon ]
00007f0530000000    132K rw---   [ anon ]
00007f0530021000  65404K -----   [ anon ]
00007f0534000000    132K rw---   [ anon ]
00007f0534021000  65404K -----   [ anon ]
00007f0538000000    132K rw---   [ anon ]
00007f0538021000  65404K -----   [ anon ]
00007f053c000000    132K rw---   [ anon ]
00007f053c021000  65404K -----   [ anon ]
00007f0540000000    132K rw---   [ anon ]
00007f0540021000  65404K -----   [ anon ]
00007f0544000000    132K rw---   [ anon ]
00007f0544021000  65404K -----   [ anon ]
00007f0548000000    132K rw---   [ anon ]
00007f0548021000  65404K -----   [ anon ]
00007f054c07b000    108K r--s- nashorn.jar
00007f054c096000   3392K rw---   [ anon ]
00007f054c3e6000   1848K r--s- rt.jar
00007f054c5b4000  15428K rw---   [ anon ]
00007f054d4c5000      4K -----   [ anon ]
00007f054d4c6000   1024K rw---   [ anon ]
00007f054d5c6000      4K -----   [ anon ]
00007f054d5c7000   1024K rw---   [ anon ]
00007f054d6c7000      4K -----   [ anon ]
00007f054d6c8000   1024K rw---   [ anon ]
00007f054d7c8000      4K -----   [ anon ]
00007f054d7c9000   1024K rw---   [ anon ]
00007f054d8c9000      4K -----   [ anon ]
00007f054d8ca000   1024K rw---   [ anon ]
00007f054d9ca000      4K -----   [ anon ]
00007f054d9cb000   1024K rw---   [ anon ]
00007f054dacb000      4K -----   [ anon ]
00007f054dacc000   1024K rw---   [ anon ]
00007f054dbcc000      4K -----   [ anon ]
00007f054dbcd000   1024K rw---   [ anon ]
00007f054dccd000      4K -----   [ anon ]
00007f054dcce000   1024K rw---   [ anon ]
00007f054ddce000      4K -----   [ anon ]
00007f054ddcf000   1024K rw---   [ anon ]
00007f054decf000      4K -----   [ anon ]
00007f054ded0000   1024K rw---   [ anon ]
00007f054dfd0000      4K -----   [ anon ]
00007f054dfd1000   1024K rw---   [ anon ]
00007f054e0d1000      4K -----   [ anon ]
00007f054e0d2000   1024K rw---   [ anon ]
00007f054e1d2000      4K -----   [ anon ]
00007f054e1d3000   1024K rw---   [ anon ]
00007f054e2d3000      4K -----   [ anon ]
00007f054e2d4000   1024K rw---   [ anon ]
00007f054e3d4000      4K -----   [ anon ]
00007f054e3d5000   1024K rw---   [ anon ]
00007f054e4d5000      4K -----   [ anon ]
00007f054e4d6000   1024K rw---   [ anon ]
00007f054e5d6000      4K -----   [ anon ]
00007f054e5d7000   1024K rw---   [ anon ]
00007f054e6d7000      4K -----   [ anon ]
00007f054e6d8000   1024K rw---   [ anon ]
00007f054e7d8000      4K -----   [ anon ]
00007f054e7d9000   1024K rw---   [ anon ]
00007f054e8d9000      4K -----   [ anon ]
00007f054e8da000   1024K rw---   [ anon ]
00007f054e9da000      4K -----   [ anon ]
00007f054e9db000   1024K rw---   [ anon ]
00007f054eadb000      4K -----   [ anon ]
00007f054eadc000   1024K rw---   [ anon ]
00007f054ebdc000      4K -----   [ anon ]
00007f054ebdd000   1024K rw---   [ anon ]
00007f054ecdd000      4K -----   [ anon ]
00007f054ecde000   1024K rw---   [ anon ]
00007f054edde000      4K -----   [ anon ]
00007f054eddf000   1024K rw---   [ anon ]
00007f054eedf000      4K -----   [ anon ]
00007f054eee0000   1024K rw---   [ anon ]
00007f054efe0000      4K -----   [ anon ]
00007f054efe1000   1024K rw---   [ anon ]
00007f054f0e1000      4K -----   [ anon ]
00007f054f0e2000   1024K rw---   [ anon ]
00007f054f1e2000      4K -----   [ anon ]
00007f054f1e3000   1024K rw---   [ anon ]
00007f054f2e3000      4K -----   [ anon ]
00007f054f2e4000   1024K rw---   [ anon ]
00007f054f3e4000      4K -----   [ anon ]
00007f054f3e5000   1024K rw---   [ anon ]
00007f054f4e5000      4K -----   [ anon ]
00007f054f4e6000   1024K rw---   [ anon ]
00007f054f5e6000      4K -----   [ anon ]
00007f054f5e7000   1024K rw---   [ anon ]
00007f054f6e7000      4K -----   [ anon ]
00007f054f6e8000   1024K rw---   [ anon ]
00007f054f7e8000      4K -----   [ anon ]
00007f054f7e9000   1024K rw---   [ anon ]
00007f054f8e9000      4K -----   [ anon ]
00007f054f8ea000   1024K rw---   [ anon ]
00007f054f9ea000      4K -----   [ anon ]
00007f054f9eb000   1024K rw---   [ anon ]
00007f054faeb000      4K -----   [ anon ]
00007f054faec000   1024K rw---   [ anon ]
00007f054fbec000      4K -----   [ anon ]
00007f054fbed000   1024K rw---   [ anon ]
00007f054fced000      4K -----   [ anon ]
00007f054fcee000   1024K rw---   [ anon ]
