1:   java -Xmx200m -jar /app/ts-train-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f41cf5f6000     12K -----   [ anon ]
00007f41cf5f9000   1016K rw---   [ anon ]
00007f41cf6f7000     12K -----   [ anon ]
00007f41cf6fa000   1016K rw---   [ anon ]
00007f41cf7f8000     12K -----   [ anon ]
00007f41cf7fb000   1016K rw---   [ anon ]
00007f41cf8f9000     12K -----   [ anon ]
00007f41cf8fc000   1016K rw---   [ anon ]
00007f41cf9fa000     12K -----   [ anon ]
00007f41cf9fd000   1016K rw---   [ anon ]
00007f41cfafb000     12K -----   [ anon ]
00007f41cfafe000   1016K rw---   [ anon ]
00007f41cfbfc000     12K -----   [ anon ]
00007f41cfbff000   1016K rw---   [ anon ]
00007f41cfcfd000     12K -----   [ anon ]
00007f41cfd00000   1016K rw---   [ anon ]
00007f41cfdfe000     12K -----   [ anon ]
00007f41cfe01000   1016K rw---   [ anon ]
00007f41cfeff000     12K -----   [ anon ]
00007f41cff02000   1016K rw---   [ anon ]
00007f41d0000000    132K rw---   [ anon ]
00007f41d0021000  65404K -----   [ anon ]
00007f41d4000000    132K rw---   [ anon ]
00007f41d4021000  65404K -----   [ anon ]
00007f41d8000000    132K rw---   [ anon ]
00007f41d8021000  65404K -----   [ anon ]
00007f41dc0e1000   2048K rw---   [ anon ]
00007f41dc2e1000   2048K rw---   [ anon ]
00007f41dc4e1000   2048K rw---   [ anon ]
00007f41dc6e1000   2040K rw---   [ anon ]
00007f41dc8df000      8K -----   [ anon ]
00007f41dc8e1000     80K r-x-- libresolv-2.19.so
00007f41dc8f5000   2044K ----- libresolv-2.19.so
00007f41dcaf4000      4K r---- libresolv-2.19.so
00007f41dcaf5000      4K rw--- libresolv-2.19.so
00007f41dcaf6000      8K rw---   [ anon ]
00007f41dcaf8000     20K r-x-- libnss_dns-2.19.so
00007f41dcafd000   2044K ----- libnss_dns-2.19.so
00007f41dccfc000      4K r---- libnss_dns-2.19.so
00007f41dccfd000      4K rw--- libnss_dns-2.19.so
00007f41dccfe000     12K -----   [ anon ]
00007f41dcd01000   3064K rw---   [ anon ]
00007f41dcfff000  49156K rw---   [ anon ]
00007f41e0000000    132K rw---   [ anon ]
00007f41e0021000  65404K -----   [ anon ]
00007f41e4006000     12K -----   [ anon ]
00007f41e4009000   1016K rw---   [ anon ]
00007f41e4107000    160K r-x-- libsunec.so
00007f41e412f000   2048K ----- libsunec.so
00007f41e432f000     16K r---- libsunec.so
00007f41e4333000      8K rw--- libsunec.so
00007f41e4335000     12K -----   [ anon ]
00007f41e4338000   3064K rw---   [ anon ]
00007f41e4636000   2048K rw---   [ anon ]
00007f41e4836000   2048K rw---   [ anon ]
00007f41e4a36000   2048K rw---   [ anon ]
00007f41e4c36000   2048K rw---   [ anon ]
00007f41e4e3c000     12K -----   [ anon ]
00007f41e4e3f000   1016K rw---   [ anon ]
00007f41e4f3d000     12K -----   [ anon ]
00007f41e4f40000   3064K rw---   [ anon ]
00007f41e523e000   2048K rw---   [ anon ]
00007f41e543e000     68K r-x-- libnio.so
00007f41e544f000   2048K ----- libnio.so
00007f41e564f000      4K r---- libnio.so
00007f41e5650000      4K rw--- libnio.so
00007f41e5651000   2048K rw---   [ anon ]
00007f41e5851000   2048K rw---   [ anon ]
00007f41e5a51000     12K -----   [ anon ]
00007f41e5a54000   3064K rw---   [ anon ]
00007f41e5d52000     92K r-x-- libnet.so
00007f41e5d69000   2044K ----- libnet.so
00007f41e5f68000      4K r---- libnet.so
00007f41e5f69000      4K rw--- libnet.so
00007f41e5f6a000     36K r-x-- libmanagement.so
00007f41e5f73000   2044K ----- libmanagement.so
00007f41e6172000      4K r---- libmanagement.so
00007f41e6173000      4K rw--- libmanagement.so
00007f41e6174000      4K -----   [ anon ]
00007f41e6175000   1024K rw---   [ anon ]
00007f41e6275000     12K -----   [ anon ]
00007f41e6278000   1016K rw---   [ anon ]
00007f41e6376000     12K -----   [ anon ]
00007f41e6379000   1016K rw---   [ anon ]
00007f41e6477000     12K -----   [ anon ]
00007f41e647a000   1016K rw---   [ anon ]
00007f41e6578000     12K -----   [ anon ]
00007f41e657b000   1016K rw---   [ anon ]
00007f41e6679000     12K -----   [ anon ]
00007f41e667c000   1016K rw---   [ anon ]
00007f41e677a000     12K -----   [ anon ]
00007f41e677d000   1016K rw---   [ anon ]
00007f41e687b000     12K -----   [ anon ]
00007f41e687e000   1016K rw---   [ anon ]
00007f41e697c000     12K -----   [ anon ]
00007f41e697f000   1016K rw---   [ anon ]
00007f41e6a7d000     12K -----   [ anon ]
00007f41e6a80000   1016K rw---   [ anon ]
00007f41e6b7e000     12K -----   [ anon ]
00007f41e6b81000   1016K rw---   [ anon ]
00007f41e6c7f000     12K -----   [ anon ]
00007f41e6c82000   1016K rw---   [ anon ]
00007f41e6d80000     12K -----   [ anon ]
00007f41e6d83000   1016K rw---   [ anon ]
00007f41e6e81000     12K -----   [ anon ]
00007f41e6e84000   1016K rw---   [ anon ]
00007f41e6f82000     12K -----   [ anon ]
00007f41e6f85000   1016K rw---   [ anon ]
00007f41e7083000     12K -----   [ anon ]
00007f41e7086000   1016K rw---   [ anon ]
00007f41e7184000     12K -----   [ anon ]
00007f41e7187000   1016K rw---   [ anon ]
00007f41e7285000     12K -----   [ anon ]
00007f41e7288000   1016K rw---   [ anon ]
00007f41e7386000     12K -----   [ anon ]
00007f41e7389000   1016K rw---   [ anon ]
00007f41e7487000     12K -----   [ anon ]
00007f41e748a000   1016K rw---   [ anon ]
00007f41e7588000     12K -----   [ anon ]
00007f41e758b000   1016K rw---   [ anon ]
00007f41e7689000   1468K r---- LC_COLLATE
00007f41e77f8000     12K -----   [ anon ]
00007f41e77fb000   1016K rw---   [ anon ]
00007f41e78f9000     12K -----   [ anon ]
00007f41e78fc000   1016K rw---   [ anon ]
00007f41e79fa000      4K -----   [ anon ]
00007f41e79fb000   6164K rw---   [ anon ]
00007f41e8000000    132K rw---   [ anon ]
00007f41e8021000  65404K -----   [ anon ]
00007f41ec0c1000  64764K rw---   [ anon ]
00007f41f0000000    132K rw---   [ anon ]
00007f41f0021000  65404K -----   [ anon ]
00007f41f40c1000  64764K rw---   [ anon ]
00007f41f8000000    132K rw---   [ anon ]
00007f41f8021000  65404K -----   [ anon ]
00007f41fc000000    132K rw---   [ anon ]
00007f41fc021000  65404K -----   [ anon ]
00007f4200000000    132K rw---   [ anon ]
00007f4200021000  65404K -----   [ anon ]
00007f42040f5000  62708K rw---   [ anon ]
00007f4207e32000   1848K r--s- rt.jar
00007f4208000000    132K rw---   [ anon ]
00007f4208021000  65404K -----   [ anon ]
00007f420c000000    132K rw---   [ anon ]
00007f420c021000  65404K -----   [ anon ]
00007f4210000000    132K rw---   [ anon ]
00007f4210021000  65404K -----   [ anon ]
00007f4214000000    132K rw---   [ anon ]
00007f4214021000  65404K -----   [ anon ]
00007f4218000000    132K rw---   [ anon ]
00007f4218021000  65404K -----   [ anon ]
00007f421c000000    132K rw---   [ anon ]
00007f421c021000  65404K -----   [ anon ]
00007f4220000000    132K rw---   [ anon ]
00007f4220021000  65404K -----   [ anon ]
00007f4224000000    132K rw---   [ anon ]
00007f4224021000  65404K -----   [ anon ]
00007f4228000000    132K rw---   [ anon ]
00007f4228021000  65404K -----   [ anon ]
00007f422c000000    132K rw---   [ anon ]
00007f422c021000  65404K -----   [ anon ]
00007f4230000000    132K rw---   [ anon ]
00007f4230021000  65404K -----   [ anon ]
00007f4234000000    132K rw---   [ anon ]
00007f4234021000  65404K -----   [ anon ]
00007f4238000000    132K rw---   [ anon ]
00007f4238021000  65404K -----   [ anon ]
00007f423c000000    132K rw---   [ anon ]
00007f423c021000  65404K -----   [ anon ]
00007f4240000000    132K rw---   [ anon ]
00007f4240021000  65404K -----   [ anon ]
00007f4244000000    132K rw---   [ anon ]
00007f4244021000  65404K -----   [ anon ]
00007f4248000000    132K rw---   [ anon ]
00007f4248021000  65404K -----   [ anon ]
00007f424c000000    132K rw---   [ anon ]
00007f424c021000  65404K -----   [ anon ]
