1:   java -Xmx200m -jar /app/ts-route-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f87a8021000  65404K -----   [ anon ]
00007f87b0000000    132K rw---   [ anon ]
00007f87b0021000  65404K -----   [ anon ]
00007f87b8000000    132K rw---   [ anon ]
00007f87b8021000  65404K -----   [ anon ]
00007f87c0000000    132K rw---   [ anon ]
00007f87c0021000  65404K -----   [ anon ]
00007f87c8000000    132K rw---   [ anon ]
00007f87c8021000  65404K -----   [ anon ]
00007f87d0000000    132K rw---   [ anon ]
00007f87d0021000  65404K -----   [ anon ]
00007f87d8000000    132K rw---   [ anon ]
00007f87d8021000  65404K -----   [ anon ]
00007f87e0000000    132K rw---   [ anon ]
00007f87e0021000  65404K -----   [ anon ]
00007f87e8000000    132K rw---   [ anon ]
00007f87e8021000  65404K -----   [ anon ]
00007f87f0000000    132K rw---   [ anon ]
00007f87f0021000  65404K -----   [ anon ]
00007f87f8000000    132K rw---   [ anon ]
00007f87f8021000  65404K -----   [ anon ]
00007f8800000000    132K rw---   [ anon ]
00007f8800021000  65404K -----   [ anon ]
00007f8804d89000     12K -----   [ anon ]
00007f8804d8c000   1016K rw---   [ anon ]
00007f8804e8a000     12K -----   [ anon ]
00007f8804e8d000   1016K rw---   [ anon ]
00007f8804f8b000     12K -----   [ anon ]
00007f8804f8e000   1016K rw---   [ anon ]
00007f880508c000     12K -----   [ anon ]
00007f880508f000   1016K rw---   [ anon ]
00007f880518d000     12K -----   [ anon ]
00007f8805190000   1016K rw---   [ anon ]
00007f880528e000     12K -----   [ anon ]
00007f8805291000   1016K rw---   [ anon ]
00007f880538f000     12K -----   [ anon ]
00007f8805392000   1016K rw---   [ anon ]
00007f8805490000     12K -----   [ anon ]
00007f8805493000   1016K rw---   [ anon ]
00007f8805591000     12K -----   [ anon ]
00007f8805594000   1016K rw---   [ anon ]
00007f8805692000     12K -----   [ anon ]
00007f8805695000   1016K rw---   [ anon ]
00007f8805793000     12K -----   [ anon ]
00007f8805796000   1016K rw---   [ anon ]
00007f8805894000     12K -----   [ anon ]
00007f8805897000   2296K rw---   [ anon ]
00007f8805ad5000    768K -----   [ anon ]
00007f8805b95000   2048K rw---   [ anon ]
00007f8805daf000     12K -----   [ anon ]
00007f8805db2000   3064K rw---   [ anon ]
00007f88060b0000   2048K rw---   [ anon ]
00007f88062b0000   2040K rw---   [ anon ]
00007f88064ae000      8K -----   [ anon ]
00007f88064b0000     80K r-x-- libresolv-2.19.so
00007f88064c4000   2044K ----- libresolv-2.19.so
00007f88066c3000      4K r---- libresolv-2.19.so
00007f88066c4000      4K rw--- libresolv-2.19.so
00007f88066c5000      8K rw---   [ anon ]
00007f88066c7000     20K r-x-- libnss_dns-2.19.so
00007f88066cc000   2044K ----- libnss_dns-2.19.so
00007f88068cb000      4K r---- libnss_dns-2.19.so
00007f88068cc000      4K rw--- libnss_dns-2.19.so
00007f88068cd000     12K -----   [ anon ]
00007f88068d0000   1016K rw---   [ anon ]
00007f88069ce000     12K -----   [ anon ]
00007f88069d1000   3064K rw---   [ anon ]
00007f8806ccf000    160K r-x-- libsunec.so
00007f8806cf7000   2048K ----- libsunec.so
00007f8806ef7000     16K r---- libsunec.so
00007f8806efb000      8K rw--- libsunec.so
00007f8806efd000     12K -----   [ anon ]
00007f8806f00000   1016K rw---   [ anon ]
00007f8806ffe000     12K -----   [ anon ]
00007f8807001000   1016K rw---   [ anon ]
00007f88070ff000     12K -----   [ anon ]
00007f8807102000   3064K rw---   [ anon ]
00007f8807400000   2048K rw---   [ anon ]
00007f8807600000   2048K rw---   [ anon ]
00007f8807800000   2048K rw---   [ anon ]
00007f8807a00000   2048K rw---   [ anon ]
00007f8807c00000   2048K rw---   [ anon ]
00007f8807e00000   2048K rw---   [ anon ]
00007f8808000000    132K rw---   [ anon ]
00007f8808021000  65404K -----   [ anon ]
00007f880c0c7000     68K r-x-- libnio.so
00007f880c0d8000   2048K ----- libnio.so
00007f880c2d8000      4K r---- libnio.so
00007f880c2d9000      4K rw--- libnio.so
00007f880c2da000   2048K rw---   [ anon ]
00007f880c4da000   2048K rw---   [ anon ]
00007f880c6da000     12K -----   [ anon ]
00007f880c6dd000   3064K rw---   [ anon ]
00007f880c9db000  49156K rw---   [ anon ]
00007f880f9dc000     92K r-x-- libnet.so
00007f880f9f3000   2044K ----- libnet.so
00007f880fbf2000      4K r---- libnet.so
00007f880fbf3000      4K rw--- libnet.so
00007f880fbf4000     36K r-x-- libmanagement.so
00007f880fbfd000   2044K ----- libmanagement.so
00007f880fdfc000      4K r---- libmanagement.so
00007f880fdfd000      4K rw--- libmanagement.so
00007f880fdfe000      4K -----   [ anon ]
00007f880fdff000   1024K rw---   [ anon ]
00007f880feff000     12K -----   [ anon ]
00007f880ff02000   1016K rw---   [ anon ]
00007f8810000000    132K rw---   [ anon ]
00007f8810021000  65404K -----   [ anon ]
00007f8814053000     12K -----   [ anon ]
00007f8814056000   1016K rw---   [ anon ]
00007f8814154000     12K -----   [ anon ]
00007f8814157000   1016K rw---   [ anon ]
00007f8814255000     12K -----   [ anon ]
00007f8814258000   1016K rw---   [ anon ]
00007f8814356000     12K -----   [ anon ]
00007f8814359000   1016K rw---   [ anon ]
00007f8814457000     12K -----   [ anon ]
00007f881445a000   1016K rw---   [ anon ]
00007f8814558000     12K -----   [ anon ]
00007f881455b000   1016K rw---   [ anon ]
00007f8814659000     12K -----   [ anon ]
00007f881465c000   1016K rw---   [ anon ]
00007f881475a000     12K -----   [ anon ]
00007f881475d000   1016K rw---   [ anon ]
00007f881485b000     12K -----   [ anon ]
00007f881485e000   1016K rw---   [ anon ]
00007f881495c000     12K -----   [ anon ]
00007f881495f000   1016K rw---   [ anon ]
00007f8814a5d000     12K -----   [ anon ]
00007f8814a60000   1016K rw---   [ anon ]
00007f8814b5e000     12K -----   [ anon ]
00007f8814b61000   1016K rw---   [ anon ]
00007f8814c5f000     12K -----   [ anon ]
00007f8814c62000   1016K rw---   [ anon ]
00007f8814d60000     12K -----   [ anon ]
00007f8814d63000   1016K rw---   [ anon ]
00007f8814e61000     12K -----   [ anon ]
00007f8814e64000   1016K rw---   [ anon ]
00007f8814f62000     12K -----   [ anon ]
00007f8814f65000   1016K rw---   [ anon ]
00007f8815063000     12K -----   [ anon ]
00007f8815066000   1016K rw---   [ anon ]
00007f8815164000     12K -----   [ anon ]
00007f8815167000   1016K rw---   [ anon ]
00007f8815265000     12K -----   [ anon ]
00007f8815268000   1016K rw---   [ anon ]
00007f8815366000   1468K r---- LC_COLLATE
00007f88154d5000     12K -----   [ anon ]
00007f88154d8000   1016K rw---   [ anon ]
00007f88155d6000     12K -----   [ anon ]
00007f88155d9000   1016K rw---   [ anon ]
00007f88156d7000      4K -----   [ anon ]
00007f88156d8000  42144K rw---   [ anon ]
00007f8818000000    132K rw---   [ anon ]
00007f8818021000  65404K -----   [ anon ]
00007f881c0c1000  64764K rw---   [ anon ]
00007f8820000000    132K rw---   [ anon ]
00007f8820021000  65404K -----   [ anon ]
00007f8824000000    132K rw---   [ anon ]
00007f8824021000  65404K -----   [ anon ]
00007f8828000000    132K rw---   [ anon ]
00007f8828021000  65404K -----   [ anon ]
00007f882c0c1000  64764K rw---   [ anon ]
00007f8830000000    132K rw---   [ anon ]
00007f8830021000  65404K -----   [ anon ]
00007f8834000000    132K rw---   [ anon ]
00007f8834021000  65404K -----   [ anon ]
00007f8838000000    132K rw---   [ anon ]
00007f8838021000  65404K -----   [ anon ]
00007f883c000000    132K rw---   [ anon ]
00007f883c021000  65404K -----   [ anon ]
00007f8840000000    132K rw---   [ anon ]
00007f8840021000  65404K -----   [ anon ]
00007f8844000000    132K rw---   [ anon ]
00007f8844021000  65404K -----   [ anon ]
00007f8848000000    132K rw---   [ anon ]
00007f8848021000  65404K -----   [ anon ]
00007f884c000000    132K rw---   [ anon ]
00007f884c021000  65404K -----   [ anon ]
00007f8850000000    132K rw---   [ anon ]
00007f8850021000  65404K -----   [ anon ]
00007f8854000000    132K rw---   [ anon ]
00007f8854021000  65404K -----   [ anon ]
00007f8858000000    132K rw---   [ anon ]
00007f8858021000  65404K -----   [ anon ]
00007f885c000000    132K rw---   [ anon ]
00007f885c021000  65404K -----   [ anon ]
00007f8860000000    132K rw---   [ anon ]
00007f8860021000  65404K -----   [ anon ]
00007f8864000000    132K rw---   [ anon ]
00007f8864021000  65404K -----   [ anon ]
00007f8868000000    132K rw---   [ anon ]
00007f8868021000  65404K -----   [ anon ]
00007f886c000000    132K rw---   [ anon ]
00007f886c021000  65404K -----   [ anon ]
00007f8870000000    132K rw---   [ anon ]
00007f8870021000  65404K -----   [ anon ]
00007f8874000000    132K rw---   [ anon ]
00007f8874021000  65404K -----   [ anon ]
00007f8878000000    132K rw---   [ anon ]
00007f8878021000  65404K -----   [ anon ]
00007f887c03e000     12K r--s- jce.jar
00007f887c041000     16K r--s- jsse.jar
00007f887c045000     20K r--s- ts-route-service-1.0.jar
00007f887c04a000     12K r--s- icedtea-sound.jar
00007f887c04d000    108K r--s- nashorn.jar
00007f887c068000    108K r--s- cldrdata.jar
00007f887c083000     40K r--s- localedata.jar
00007f887c08d000  27036K rw---   [ anon ]
00007f887daf4000   1848K r--s- rt.jar
00007f887dcc2000  15464K rw---   [ anon ]
00007f887ebdc000      4K -----   [ anon ]
00007f887ebdd000   1024K rw---   [ anon ]
00007f887ecdd000      4K -----   [ anon ]
00007f887ecde000   1024K rw---   [ anon ]
00007f887edde000      4K -----   [ anon ]
00007f887eddf000   1024K rw---   [ anon ]
00007f887eedf000      4K -----   [ anon ]
00007f887eee0000   1024K rw---   [ anon ]
00007f887efe0000      4K -----   [ anon ]
00007f887efe1000   1024K rw---   [ anon ]
00007f887f0e1000      4K -----   [ anon ]
00007f887f0e2000   1024K rw---   [ anon ]
00007f887f1e2000      4K -----   [ anon ]
00007f887f1e3000   1024K rw---   [ anon ]
00007f887f2e3000      4K -----   [ anon ]
00007f887f2e4000   1024K rw---   [ anon ]
00007f887f3e4000      4K -----   [ anon ]
00007f887f3e5000   1024K rw---   [ anon ]
00007f887f4e5000      4K -----   [ anon ]
00007f887f4e6000   1024K rw---   [ anon ]
00007f887f5e6000      4K -----   [ anon ]
00007f887f5e7000   1024K rw---   [ anon ]
00007f887f6e7000      4K -----   [ anon ]
00007f887f6e8000   1024K rw---   [ anon ]
00007f887f7e8000      4K -----   [ anon ]
00007f887f7e9000   1024K rw---   [ anon ]
00007f887f8e9000      4K -----   [ anon ]
00007f887f8ea000   1024K rw---   [ anon ]
00007f887f9ea000      4K -----   [ anon ]
00007f887f9eb000   1024K rw---   [ anon ]
00007f887faeb000      4K -----   [ anon ]
00007f887faec000   1024K rw---   [ anon ]
00007f887fbec000      4K -----   [ anon ]
00007f887fbed000   1024K rw---   [ anon ]
00007f887fced000      4K -----   [ anon ]
00007f887fcee000   1024K rw---   [ anon ]
00007f887fdee000      4K -----   [ anon ]
00007f887fdef000   1024K rw---   [ anon ]
00007f887feef000      4K -----   [ anon ]
00007f887fef0000   1024K rw---   [ anon ]
00007f887fff0000      4K -----   [ anon ]
00007f887fff1000   1024K rw---   [ anon ]
00007f88800f1000      4K -----   [ anon ]
00007f88800f2000   1024K rw---   [ anon ]
00007f88801f2000      4K -----   [ anon ]
00007f88801f3000   1024K rw---   [ anon ]
00007f88802f3000      4K -----   [ anon ]
00007f88802f4000   1024K rw---   [ anon ]
00007f88803f4000      4K -----   [ anon ]
00007f88803f5000   1024K rw---   [ anon ]
00007f88804f5000      4K -----   [ anon ]
00007f88804f6000   1024K rw---   [ anon ]
00007f88805f6000      4K -----   [ anon ]
00007f88805f7000   1024K rw---   [ anon ]
00007f88806f7000      4K -----   [ anon ]
00007f88806f8000   1024K rw---   [ anon ]
00007f88807f8000      4K -----   [ anon ]
00007f88807f9000   1024K rw---   [ anon ]
00007f88808f9000      4K -----   [ anon ]
00007f88808fa000   1024K rw---   [ anon ]
00007f88809fa000      4K -----   [ anon ]
00007f88809fb000   1024K rw---   [ anon ]
00007f8880afb000      4K -----   [ anon ]
00007f8880afc000   1024K rw---   [ anon ]
00007f8880bfc000      4K -----   [ anon ]
00007f8880bfd000   1024K rw---   [ anon ]
00007f8880cfd000      4K -----   [ anon ]
00007f8880cfe000   1024K rw---   [ anon ]
00007f8880dfe000      4K -----   [ anon ]
00007f8880dff000   1024K rw---   [ anon ]
00007f8880eff000      4K -----   [ anon ]
00007f8880f00000   1024K rw---   [ anon ]
00007f8881000000  25664K rwx--   [ anon ]
00007f8882910000 220096K -----   [ anon ]
00007f8890000000  38396K rw---   [ anon ]
00007f889257f000  27140K -----   [ anon ]
00007f8894002000     16K r--s- sunpkcs11.jar
00007f8894006000    364K rw---   [ anon ]
00007f8894061000      4K -----   [ anon ]
00007f8894062000   1024K rw---   [ anon ]
00007f8894162000      4K -----   [ anon ]
00007f8894163000   1024K rw---   [ anon ]
00007f8894263000      4K -----   [ anon ]
00007f8894264000   1024K rw---   [ anon ]
00007f8894364000      4K -----   [ anon ]
00007f8894365000   1024K rw---   [ anon ]
00007f8894465000      4K -----   [ anon ]
00007f8894466000   1024K rw---   [ anon ]
00007f8894566000      4K -----   [ anon ]
00007f8894567000   1024K rw---   [ anon ]
00007f8894667000      4K -----   [ anon ]
00007f8894668000   1024K rw---   [ anon ]
00007f8894768000      4K -----   [ anon ]
00007f8894769000   1024K rw---   [ anon ]
00007f8894869000      4K -----   [ anon ]
00007f889486a000   1024K rw---   [ anon ]
00007f889496a000      4K -----   [ anon ]
00007f889496b000   1024K rw---   [ anon ]
00007f8894a6b000      4K -----   [ anon ]
00007f8894a6c000   1024K rw---   [ anon ]
00007f8894b6c000      4K -----   [ anon ]
00007f8894b6d000   1024K rw---   [ anon ]
00007f8894c6d000      4K -----   [ anon ]
00007f8894c6e000   1024K rw---   [ anon ]
00007f8894d6e000      4K -----   [ anon ]
00007f8894d6f000   1024K rw---   [ anon ]
00007f8894e6f000      4K -----   [ anon ]
00007f8894e70000   1024K rw---   [ anon ]
00007f8894f70000      4K -----   [ anon ]
00007f8894f71000   1024K rw---   [ anon ]
00007f8895071000      4K -----   [ anon ]
00007f8895072000   1024K rw---   [ anon ]
00007f8895172000      4K -----   [ anon ]
00007f8895173000   1024K rw---   [ anon ]
00007f8895273000      4K -----   [ anon ]
00007f8895274000   1024K rw---   [ anon ]
00007f8895374000      4K -----   [ anon ]
00007f8895375000   1024K rw---   [ anon ]
00007f8895475000      4K -----   [ anon ]
00007f8895476000   1024K rw---   [ anon ]
00007f8895576000      4K -----   [ anon ]
00007f8895577000   1024K rw---   [ anon ]
00007f8895677000      4K -----   [ anon ]
00007f8895678000   1024K rw---   [ anon ]
00007f8895778000      4K -----   [ anon ]
00007f8895779000   1024K rw---   [ anon ]
00007f8895879000      4K -----   [ anon ]
00007f889587a000   1024K rw---   [ anon ]
00007f889597a000      4K -----   [ anon ]
00007f889597b000   1024K rw---   [ anon ]
00007f8895a7b000      4K -----   [ anon ]
00007f8895a7c000   1428K rw---   [ anon ]
00007f8895be1000   3436K -----   [ anon ]
00007f8895f3c000     32K r-x-- libzip.so
00007f8895f44000   2044K ----- libzip.so
00007f8896143000      4K r---- libzip.so
00007f8896144000      4K rw--- libzip.so
00007f8896145000     44K r-x-- libnss_files-2.19.so
00007f8896150000   2044K ----- libnss_files-2.19.so
00007f889634f000      4K r---- libnss_files-2.19.so
00007f8896350000      4K rw--- libnss_files-2.19.so
00007f8896351000     40K r-x-- libnss_nis-2.19.so
00007f889635b000   2044K ----- libnss_nis-2.19.so
00007f889655a000      4K r---- libnss_nis-2.19.so
00007f889655b000      4K rw--- libnss_nis-2.19.so
00007f889655c000     84K r-x-- libnsl-2.19.so
00007f8896571000   2044K ----- libnsl-2.19.so
00007f8896770000      4K r---- libnsl-2.19.so
00007f8896771000      4K rw--- libnsl-2.19.so
00007f8896772000      8K rw---   [ anon ]
00007f8896774000     28K r-x-- libnss_compat-2.19.so
00007f889677b000   2044K ----- libnss_compat-2.19.so
00007f889697a000      4K r---- libnss_compat-2.19.so
00007f889697b000      4K rw--- libnss_compat-2.19.so
00007f889697c000    184K r-x-- libjava.so
00007f88969aa000   2044K ----- libjava.so
00007f8896ba9000      4K r---- libjava.so
00007f8896baa000      8K rw--- libjava.so
00007f8896bac000     60K r-x-- libverify.so
00007f8896bbb000   2048K ----- libverify.so
00007f8896dbb000     12K r---- libverify.so
00007f8896dbe000      4K rw--- libverify.so
00007f8896dbf000     28K r-x-- librt-2.19.so
00007f8896dc6000   2044K ----- librt-2.19.so
00007f8896fc5000      4K r---- librt-2.19.so
00007f8896fc6000      4K rw--- librt-2.19.so
00007f8896fc7000     88K r-x-- libgcc_s.so.1
00007f8896fdd000   2044K ----- libgcc_s.so.1
00007f88971dc000      4K rw--- libgcc_s.so.1
00007f88971dd000   1024K r-x-- libm-2.19.so
00007f88972dd000   2044K ----- libm-2.19.so
00007f88974dc000      4K r---- libm-2.19.so
00007f88974dd000      4K rw--- libm-2.19.so
00007f88974de000    944K r-x-- libstdc++.so.6.0.20
00007f88975ca000   2048K ----- libstdc++.so.6.0.20
00007f88977ca000     32K r---- libstdc++.so.6.0.20
00007f88977d2000      8K rw--- libstdc++.so.6.0.20
00007f88977d4000     84K rw---   [ anon ]
00007f88977e9000  12892K r-x-- libjvm.so
00007f8898480000   2044K ----- libjvm.so
00007f889867f000    652K r---- libjvm.so
00007f8898722000    164K rw--- libjvm.so
00007f889874b000    196K rw---   [ anon ]
00007f889877c000   1668K r-x-- libc-2.19.so
00007f889891d000   2048K ----- libc-2.19.so
00007f8898b1d000     16K r---- libc-2.19.so
00007f8898b21000      8K rw--- libc-2.19.so
00007f8898b23000     16K rw---   [ anon ]
00007f8898b27000     12K r-x-- libdl-2.19.so
00007f8898b2a000   2044K ----- libdl-2.19.so
00007f8898d29000      4K r---- libdl-2.19.so
00007f8898d2a000      4K rw--- libdl-2.19.so
00007f8898d2b000     56K r-x-- libjli.so
00007f8898d39000   2044K ----- libjli.so
00007f8898f38000      4K r---- libjli.so
00007f8898f39000      4K rw--- libjli.so
00007f8898f3a000    104K r-x-- libz.so.1.2.8
00007f8898f54000   2044K ----- libz.so.1.2.8
00007f8899153000      4K r---- libz.so.1.2.8
00007f8899154000      4K rw--- libz.so.1.2.8
00007f8899155000     96K r-x-- libpthread-2.19.so
00007f889916d000   2044K ----- libpthread-2.19.so
00007f889936c000      4K r---- libpthread-2.19.so
00007f889936d000      4K rw--- libpthread-2.19.so
00007f889936e000     16K rw---   [ anon ]
00007f8899372000    128K r-x-- ld-2.19.so
00007f8899392000      8K r--s- sunec.jar
00007f8899394000     20K r--s- sunjce_provider.jar
00007f8899399000      4K r--s- jaccess.jar
00007f889939a000      4K r--s- zipfs.jar
00007f889939b000      8K r--s- dnsns.jar
00007f889939d000    152K r---- LC_CTYPE
00007f88993c3000      4K r---- LC_NUMERIC
00007f88993c4000      4K r---- LC_TIME
00007f88993c5000      4K r---- LC_MONETARY
00007f88993c6000      4K r---- SYS_LC_MESSAGES
00007f88993c7000      4K r---- LC_PAPER
00007f88993c8000      4K r---- LC_NAME
00007f88993c9000      4K r---- LC_ADDRESS
