syscall,count
3,196
39,24
231,10
61,25
13,54
16,12
14,40
0,207
56,26
59,10
12,26
158,20
21,10
257,75
5,72
9,182
11,24
10,64
89,88
79,10
269,10
2,30
8,26
221,6
1,16
44,12
48,4
7,4
202,38
43,4
51,4
273,6
28,4
186,4
60,2
45,3
230,1
22,8
32,10
217,8
102,2
104,2
107,4
110,2
4,20
108,2
