syscall,count
0,1674
5,206
9,518
59,22
3,358
11,54
257,236
10,172
158,46
12,70
21,106
89,224
79,24
269,26
2,72
8,58
221,8
1,38
39,56
231,14
61,45
16,22
102,84
104,84
107,86
108,84
14,170
99,2
13,236
63,2
4,214
110,4
41,4
42,4
111,2
72,16
22,8
56,36
32,22
218,4
273,6
137,10
202,30
83,2
91,4
87,2
95,2
268,2
230,2
44,6
48,2
7,2
43,2
28,2
60,1
51,2
186,2
45,1
