Accuracy,Precision,Recall,F1 Score,C,gamma,kernel,N-Gram
0.9967793880837359,1.0,0.9941348973607038,0.9970588235294118,0.1,0.01,linear,2.0
0.9935587761674718,0.9970501474926253,0.9912023460410557,0.9941176470588234,0.05,0.01,linear,3.0
0.9935587761674718,1.0,0.9882697947214076,0.9941002949852508,0.01,0.01,linear,4.0
1.0,1.0,1.0,1.0,0.05,0.01,linear,5.0
